leaderboard,timestamp,tier,score
leagues,2021-04-14T12:21:29Z,0,105.0
leagues,2021-04-19T16:05:44Z,0,181.0
leagues,2021-04-26T10:48:32Z,1,149.0
leagues,2021-05-11T15:34:44Z,1,21.0
leagues,2021-05-26T07:28:32Z,0,322.0
leagues,2021-05-31T11:51:26Z,1,422.0
leagues,2021-06-07T07:49:41Z,2,411.0
leagues,2021-06-18T11:12:36Z,2,211.0
leagues,2021-06-21T10:36:20Z,3,319.0
leagues,2021-06-28T22:54:39Z,3,26.0
leagues,2021-07-14T12:59:13Z,2,215.0
leagues,2021-07-19T19:13:50Z,3,60.0
leagues,2021-08-05T21:40:15Z,2,13.0
leagues,2021-09-02T13:28:52Z,1,34.0
leagues,2021-09-06T18:28:10Z,1,10.0
leagues,2021-09-28T16:13:58Z,0,739.0
leagues,2021-10-14T09:22:31Z,1,243.0
leagues,2021-10-18T19:16:29Z,2,44.0
leagues,2021-10-25T21:42:03Z,1,719.0
leagues,2021-11-01T20:30:33Z,2,581.0
leagues,2021-11-08T08:49:45Z,3,458.0
leagues,2021-11-15T07:35:26Z,3,888.0
leagues,2021-11-22T08:09:42Z,3,2083.0
leagues,2021-11-29T05:38:55Z,4,373.0
leagues,2021-12-05T21:44:21Z,3,185.0
leagues,2021-12-12T20:51:44Z,3,417.0
leagues,2021-12-20T23:20:27Z,4,730.0
leagues,2021-12-27T07:59:38Z,5,334.0
leagues,2022-01-03T08:46:51Z,5,283.0
leagues,2022-01-10T11:06:02Z,5,87.0
leagues,2022-01-16T20:43:26Z,4,344.0
leagues,2022-01-23T20:25:46Z,5,954.0
leagues,2022-01-30T20:04:56Z,6,1773.0
leagues,2022-02-07T08:46:36Z,7,147.0
leagues,2022-02-13T21:23:23Z,6,673.0
leagues,2022-02-20T20:04:26Z,7,319.0
leagues,2022-02-28T05:53:57Z,6,158.0
leagues,2022-03-06T20:34:55Z,5,226.0
leagues,2022-03-14T05:22:09Z,6,198.0
leagues,2022-03-20T21:18:41Z,5,300.0
leagues,2022-03-28T05:39:07Z,6,333.0
leagues,2022-04-04T20:26:32Z,6,335.0
leagues,2022-04-10T20:31:17Z,7,580.0
leagues,2022-04-18T09:58:47Z,8,449.0
leagues,2022-04-24T21:00:02Z,8,233.0
leagues,2022-05-02T05:35:22Z,7,819.0
leagues,2022-05-09T05:22:18Z,8,1560.0
leagues,2022-05-16T07:22:36Z,9,367.0
leagues,2022-05-23T05:51:59Z,8,987.0
leagues,2022-05-30T07:46:59Z,9,659.0
leagues,2022-06-06T06:40:01Z,8,2027.0
leagues,2022-06-13T21:19:33Z,9,492.0
leagues,2022-06-20T20:23:00Z,8,705.0
leagues,2022-06-27T13:47:41Z,9,340.0
leagues,2022-07-04T08:26:27Z,8,1087.0
leagues,2022-07-11T13:16:59Z,9,2320.0
leagues,2022-07-17T20:25:44Z,9,1638.0
leagues,2022-07-25T20:42:06Z,9,321.0
leagues,2022-08-01T19:54:03Z,8,421.0
leagues,2022-08-07T20:25:37Z,8,2243.0
leagues,2022-08-15T09:18:10Z,9,656.0
leagues,2022-08-22T05:06:40Z,8,505.0
leagues,2022-08-29T04:34:41Z,7,828.0
leagues,2022-09-05T20:51:40Z,8,319.0
leagues,2022-09-12T05:45:49Z,7,426.0
leagues,2022-09-19T21:03:29Z,7,352.0
leagues,2022-09-26T04:50:12Z,7,255.0
leagues,2022-10-05T05:23:39Z,7,264.0
leagues,2022-10-10T04:07:55Z,7,1721.0
leagues,2022-10-17T05:25:54Z,8,1916.0
leagues,2022-10-24T05:05:04Z,8,2128.0
leagues,2022-10-30T20:03:50Z,8,1841.0
leagues,2022-11-07T05:19:53Z,8,2870.0
leagues,2022-11-14T08:39:27Z,8,1241.0
leagues,2022-11-21T05:51:20Z,8,2229.0
leagues,2022-11-28T10:49:05Z,8,842.0
leagues,2022-12-04T22:49:22Z,7,2730.0
leagues,2022-12-12T05:49:38Z,8,994.0
leagues,2022-12-19T06:52:18Z,8,1087.0
leagues,2022-12-26T10:21:04Z,9,3396.0
leagues,2023-01-02T08:50:21Z,9,2955.0
leagues,2023-01-09T05:48:18Z,9,3510.0
leagues,2023-01-16T11:03:50Z,9,2210.0
leagues,2023-01-23T06:49:16Z,9,2006.0
leagues,2023-01-29T22:12:52Z,9,2494.0
leagues,2023-02-06T19:55:14Z,9,1164.0
leagues,2023-02-12T22:09:19Z,9,1687.0
leagues,2023-02-19T21:24:47Z,9,3734.0
leagues,2023-02-27T05:56:00Z,9,3357.0
leagues,2023-03-05T20:00:19Z,9,3133.0
leagues,2023-03-13T05:50:51Z,9,3757.0
leagues,2023-03-19T21:19:11Z,9,3127.0
leagues,2023-03-27T05:02:13Z,9,3160.0
leagues,2023-04-03T05:53:39Z,9,4427.0
leagues,2023-04-10T06:34:31Z,9,3372.0
leagues,2023-04-17T04:37:03Z,8,3768.0
leagues,2023-04-24T04:18:43Z,9,2907.0
leagues,2023-05-01T05:13:08Z,8,2290.0
leagues,2023-05-08T09:48:02Z,8,1797.0
leagues,2023-05-15T04:36:34Z,8,2013.0
leagues,2023-05-22T06:01:35Z,8,1519.0
leagues,2023-05-28T20:57:01Z,8,1608.0
leagues,2023-06-05T19:56:01Z,8,1217.0
leagues,2023-06-12T07:34:23Z,8,1991.0
leagues,2023-06-19T05:30:00Z,8,884.0
leagues,2023-06-25T20:23:35Z,7,3220.0
leagues,2023-07-02T21:18:01Z,8,3082.0
leagues,2023-07-10T05:10:46Z,9,2975.0
diamond-tournament,2023-07-16T20:43:54Z,0,2329.0
leagues,2023-07-23T20:35:40Z,9,1373.0
leagues,2023-07-30T20:30:45Z,8,462.0
leagues,2023-08-07T07:20:13Z,7,999.0
